FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
170000095;CENTRE HOSPITALIER ST JEAN D'ANGELY;17415;ST JEAN D ANGELY;Public;45.946965;-0.529466
170000103;CH DE SAINTONGE - SAINTES;17108;SAINTES;Public;45.694334;-0.531391
170000111;CH ST HONORE - ST-MARTIN-DE-RE;17410;ST MARTIN DE RE;Public;46.201412;-1.366324
170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;17205;ROYAN;Public;45.634186;-1.017415
170000137;CH DUBOIS MEYNARDIE - MARENNES;17320;MARENNES HIERS BROUAGE;Public;45.821604;-1.100210
170000152;CENTRE HOSPITALIER ROCHEFORT;17301;ROCHEFORT;Public;45.967139;-0.963990
170000178;CENTRE HOSPITALIER BOSCAMNANT;17360;BOSCAMNANT;Public;45.198609;-0.083906
170017586;APPARTEMENTS THERAPEUTIQUES;17019;LA ROCHELLE;Public;46.158141;-1.171305
170017594;HOPITAL DE JOUR L'EMBELLIE;17000;LA ROCHELLE;Public;46.159566;-1.139507
170017602;HOPITAL DE JOUR LE VERMENDOIS;17300;ROCHEFORT;Public;45.933306;-0.962110
170017644;CENTRE DE CRISE HOPITAL ST LOUIS;17000;LA ROCHELLE;Public;46.158458;-1.144921
170017651;HOPITAL DE JOUR PSYCHOGERIATRIE;17022;LA ROCHELLE;Public;46.158141;-1.171305
170017685;HOPITAL DE JOUR PEDO-PSY LA ROCHELLE;17022;LA ROCHELLE;Public;46.158141;-1.171305
170017750;HOPITAL DE JOUR DELACROIX/CMP/CATTP;17022;LA ROCHELLE;Public;46.158141;-1.171305
170019921;CDAG - CTRE DEPIST. ANON. & GRAT.;17019;LA ROCHELLE;Public;46.158141;-1.171305
170019947;CDAG - CTRE DEPIST. ANON. & GRAT.;17108;SAINTES;Public;45.748804;-0.647217
170019954;CDAG - CTRE DEPIST. ANON. & GRAT.;17640;VAUX SUR MER;Public;45.634743;-1.061436
170019962;CDAG - CTRE DEPIST. ANON. & GRAT.;17301;ROCHEFORT;Public;45.944030;-0.967748
170020986;HOPITAL DE JOUR - CMP ADULTES;17400;ST JEAN D ANGELY;Public;45.946562;-0.529146
170021778;HOPITAL DE JOUR PEDOPSYCHIATRIE;17108;SAINTES;Public;45.748804;-0.647217
170024285;CTRE PERINAT. PROXIMITE - CH SAINTONGE;17640;VAUX SUR MER;Public;45.634743;-1.061436
170024590;CH ROCHEFORT - SITE ST PIERRE OLERON;17310;ST PIERRE D OLERON;Public;45.943504;-1.303026
170025266;SISA;17000;LA ROCHELLE;Public;46.158458;-1.144921
170782981;HOPITAL MARIUS LACROIX;17022;LA ROCHELLE;Public;46.176300;-1.134759
170783146;SERVICES PSYCHIATRIQUES JONZAC;17500;JONZAC;Public;45.458563;-0.437496
